course_number,course_name,unit,section,day,start_time,end_time,location,classroom,instructor,course_rate
33331,Physical Mechanics I,10,A,MWF,02:30PM,03:20PM,"Pittsburgh, Pennsylvania",DH  A301D,"Quinn, Brian",3.875833333
33338,Intermediate Electricity and Magnetism I,10,A,MWF,10:30AM,11:20AM,"Pittsburgh, Pennsylvania",DH  A301D,TBA,3.86
33341,Thermal Physics I,10,A,MWF,01:30PM,02:20PM,"Pittsburgh, Pennsylvania",DH  A301D,"Deserno, Markus",3.861666667
33350,Undergraduate Research,1-36,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Ghosh, Kunal",
33353,Intermediate Optics,12,Lec 1,MWF,11:30AM,12:20PM,"Pittsburgh, Pennsylvania",DH  A200,"Hunt, Benjamin",4.09625
33441,Introduction to BioPhysics,10,A,TR,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",WEH 5304,"Loesche, P.",3.270909091
33445,Advanced Quantum Physics I,9,A,MWF,09:30AM,10:20AM,"Pittsburgh, Pennsylvania",DH  A200,"Feenstra, Randall",3.688333333
33451,Senior Research,0-36,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Ghosh, Kunal",
33467,Astrophysics of Stars and the Galaxy,9,A,TR,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",DH  A301D,"Peterson, Jeffrey",3.923333333
33499,Supervised Reading,1-12,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Ghosh, Kunal",4.67
33650,General Relativity,9,A,MWF,11:30AM,12:20PM,"Pittsburgh, Pennsylvania",DH  A301D,"Rothstein, Ira",4.005
33755,Quantum Mechanics I,12,A,MWF,09:30AM,10:20AM,"Pittsburgh, Pennsylvania",DH  A301D,"Franklin, Gregg",4.259230769
33759,Introduction to Mathematical Physics I,12,A,MWF,12:30PM,01:20PM,"Pittsburgh, Pennsylvania",DH  A200,"Xiao, Di",4.160833333
33761,Classical Electrodynamics I,12,A,MWF,10:30AM,11:20AM,"Pittsburgh, Pennsylvania",DH  A200,"Gilman, Frederick",3.618333333
33770,Field Theory I,12,A,MWF,11:30AM,12:20PM,"Pittsburgh, Pennsylvania",DH  A325,"Morningstar, Colin",4.554
33775,Introduction to Research 1,12,A,T,03:30PM,04:20PM,"Pittsburgh, Pennsylvania",DH  A301D,"Paulini, Manfred",4.492
33777,Introductory Astrophysics,12,A,TR,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",WEH 7316,"Koposov, Sergey",3.987777778
33778,Introduction to Cosmology,12,A,TR,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",WEH 7423,"Mandelbaum, Rachel",4.425
33783,Solid State Physics,12,A,MWF,01:30PM,02:20PM,"Pittsburgh, Pennsylvania",DH  A325,"Widom, Michael",4.484
33794,Colloquium,1,A,M,03:30PM,05:20PM,"Pittsburgh, Pennsylvania",DH  A302,"Paulini, Manfred",5
33889,Supervised Reading in Computational Physics,1-36,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA,
33892,Supervised Reading Astrophysics,1-36,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA,
33893,Supervised Reading in Nuclear Physics,1-36,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA,
33894,Supervised Reading in Particle Physics,1-36,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA,
33895,Supervised Reading in Condensed Matter Physics,1-36,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA,
33896,Supervised Reading in Mathematical Physics,1-36,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA,
33897,Supervised Reading in Classical Physics,1-36,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA,
33898,Supervised Reading in Quantum Physics,1-36,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA,
33996,Practicum in Physics,1-36,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Paulini, Manfred",
33997,Graduate Laboratory,1-36,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Paulini, Manfred",
33998,Thesis Research,1-36,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Paulini, Manfred",
91800,Organizational Management,12,A,M,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1005,"Lassman, David",4.26
91801,Statistical Methods for Managers,12,A,W,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1005,"Smith, Kathleen",4.1575
91804,Financial Analysis for Managers,12,A,T,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1005,"Lim, Tiong",3.75
91819,Optimization and Risk Modeling for Managers,6,A2,R,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1208,"Caulkins, Jonathan",
91820,Strategic Planning,12,K,MW,04:30PM,05:50PM,"Adelaide, Australia",TOR CLASS1,"O\'Loughlin, Timothy",4.361666667
91826,MPM Project Course,6,A1,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Synnott, Laura",
91843,Power and Influence,6,K1,M,06:00PM,08:50PM,"Adelaide, Australia",TOR CLASS5,"Chaousis, Linda",4.524
91889,Internship,0-6,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,
90490,Independent Study,VAR,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA,
